product_id,current_plant_id,monthly_demand,current_unit_cost,unit_volume_or_weight,cycle_time_sec,yield_rate
SKU-ALT-001,PLANT-JP-01,12000,25.50,2.5,45.0,98.5
SKU-ALT-002,PLANT-JP-01,8500,32.00,3.2,60.0,97.8
SKU-FUEL-001,PLANT-JP-02,15000,18.75,1.8,30.0,99.2
SKU-FUEL-002,PLANT-JP-02,9200,22.50,2.1,38.0,98.0
SKU-HVAC-001,PLANT-US-01,6800,45.00,5.5,90.0,96.5
SKU-HVAC-002,PLANT-US-01,5500,52.00,6.2,105.0,95.8
SKU-SENSOR-001,PLANT-CN-01,22000,12.30,0.8,20.0,99.5
SKU-SENSOR-002,PLANT-CN-01,18500,14.80,0.9,22.0,99.2
SKU-ECU-001,PLANT-JP-01,4200,85.00,1.5,120.0,94.2
SKU-ECU-002,PLANT-JP-02,3800,92.00,1.6,130.0,93.8
SKU-WIPER-001,PLANT-US-01,9500,8.50,0.5,15.0,99.8
SKU-WIPER-002,PLANT-CN-01,11000,7.20,0.5,14.0,99.7
